ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
225019,N. Dawson,29,Montserrat,Lynch Inc,Premier League (England),€198.8M,€546K,93.2,38.5,81.2,45.6,90,GK,179cm,Right
254128,Aaron Jr.,43,Falkland Islands (Malvinas),Barry and Sons,"Morrow, Miller and Mayo (Singapore)",€197.9M,€492K,90.1,84.7,21.0,82.5,89,CF,179cm,Left
951661,M. Brandt,46,Montserrat,Williams Ltd,Premier League (England),€197.3M,€490K,94.0,45.0,74.9,48.1,89,GK,174cm,Right
853881,J. Fields,28,Taiwan,Moses Ltd,"Clark, Walton and Cruz (Montserrat)",€249.4M,€486K,82.0,67.5,91.1,25.3,89,CDM,196cm,Left
338797,Perez,29,Falkland Islands (Malvinas),Moses Ltd,"Clark, Walton and Cruz (Montserrat)",€190.7M,€486K,95.0,34.0,69.5,55.1,89,GK,202cm,Right
958714,R. Wright,31,Nigeria,Bridges LLC,"Morrow, Miller and Mayo (Singapore)",€185.5M,€472K,91.8,74.9,41.1,58.6,88,CF,200cm,Left
139770,Joshua Jr.,51,Thailand,Paris Saint Germain,Martinez PLC (Singapore),€188.2M,€461K,59.8,89.1,48.3,86.0,88,CF,209cm,Left
222597,C. Kline,33,Central African Republic,Lynch Inc,Premier League (England),€185.3M,€465K,62.3,39.2,92.2,74.6,88,RB,208cm,Right
887133,S. James,41,Thailand,"Hubbard, Henderson and Skinner",Martinez PLC (Singapore),€181.1M,€454K,78.2,91.9,53.1,30.0,88,CDM,169cm,Left
174694,Miller,22,Taiwan,Hunter-Cervantes,"Palmer, Howe and Adams (Austria)",€180.3M,€450K,90.8,79.0,21.3,68.6,88,CF,177cm,Left
314171,D. Cohen,25,Falkland Islands (Malvinas),"Powell, White and Mckenzie",Kelly-Weber (Thailand),€185.1M,€478K,89.8,43.0,81.7,39.2,88,GK,153cm,Right
478198,A. Mcclain,27,Montserrat,Sexton PLC,"Clark, Walton and Cruz (Montserrat)",€177.2M,€456K,91.3,58.5,31.3,76.6,88,CF,192cm,Left
622813,W. Luna,23,Central African Republic,Sexton PLC,"Clark, Walton and Cruz (Montserrat)",€168.5M,€426K,87.8,83.2,31.4,65.4,87,LWB,208cm,Left
188902,W. Gutierrez,32,Cook Islands,"Lawson, Wood and Day",Foster Inc (Togo),€171.5M,€431K,91.6,24.7,74.5,44.9,87,GK,182cm,Right
918363,Joshua Madden,30,Austria,Gould-Williams,Martinez PLC (Singapore),€166.4M,€460K,85.9,82.3,36.4,87.6,87,CF,153cm,Left
435138,Juan Burgess,20,Singapore,Sanchez-Hawkins,Martinez PLC (Singapore),€170.3M,€450K,44.8,93.8,66.9,37.1,87,RB,174cm,Left
173143,C. Smith,30,Nigeria,Sexton PLC,"Clark, Walton and Cruz (Montserrat)",€162.5M,€420K,52.5,94.1,67.7,38.8,87,RB,194cm,Left
918627,G. Stanley,28,Montserrat,Jones LLC,Newman-Cunningham (Nigeria),€163.5M,€429K,79.5,72.6,89.7,33.6,87,CDM,157cm,Left
484677,Terry Duncan,22,Nigeria,"Powell, White and Mckenzie",Kelly-Weber (Thailand),€178M,€422K,90.1,75.9,24.8,63.0,87,CF,199cm,Left
886688,J. Perkins,22,Austria,"Page, Payne and Malone",Premier League (England),€159.7M,€422K,34.9,93.1,69.4,56.9,87,RB,204cm,Left
681908,T. Parsons,18,Thailand,Suarez Ltd,Mendoza-Thomas (Thailand),€157.6M,€417K,64.9,91.8,52.4,72.3,87,CF,190cm,Left
852407,K. Ellis,24,Taiwan,"Cortez, Strong and Moreno",Mendoza-Thomas (Thailand),€155.2M,€418K,54.5,78.3,72.7,88.5,86,CF,184cm,Right
