ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
313451,M. Owens,20,French Southern Territories,Manchester United,Neal Group (Christmas Island),€195.3M,€490K,24.0,95.0,89.5,49.7,95,CDM,194cm,Left
887697,R. Whitaker,32,Cocos (Keeling) Islands,"Velasquez, Werner and Thompson",Neal Group (Christmas Island),€189.3M,€489K,59.5,93.5,89.1,57.7,92,CDM,176cm,Left
501658,James Jr.,39,France,Hayes Group,"Zhang, Holloway and Adams (Togo)",€249.8M,€549K,81.6,46.8,93.6,59.1,91,LW,173cm,Right
863199,John Jr.,29,Cocos (Keeling) Islands,Jones-Kramer,Premier League (England),€199.4M,€499K,36.5,92.8,86.0,68.0,91,CDM,188cm,Left
500497,M. Sanchez,31,Christmas Island,"Riley, Sawyer and Miller",Johnson-Fernandez (United States Virgin Islands),€177.1M,€487K,55.4,90.9,45.1,88.4,90,CAM,210cm,Right
346189,D. Stevens,24,French Southern Territories,"Morris, Short and Tyler","Zhang, Holloway and Adams (Togo)",€180.7M,€470K,46.1,93.8,52.4,76.6,90,CDM,189cm,Left
233357,A. Conner,28,Spain,Salazar-Yates,Webster Ltd (United States Virgin Islands),€184.7M,€479K,38.9,82.6,91.9,43.2,90,CDM,204cm,Left
819721,Stanley Shepherd,35,Christmas Island,Ford-Hartman,"Romero, Young and Garcia (Cocos (Keeling) Islands)",€189M,€486K,30.8,89.8,45.6,87.9,89,CAM,161cm,Right
959985,M. Jones,30,Togo,Jones-Kramer,Premier League (England),€176.1M,€464K,47.5,92.6,60.2,79.9,89,CAM,192cm,Right
789213,P. Singleton,33,Taiwan,Young-Bond,Premier League (England),€199.3M,€464K,49.7,73.2,91.7,80.3,89,CDM,152cm,Left
403499,J. Foster,26,Malawi,"Luna, Thompson and Guerra",Martinez PLC (United States Virgin Islands),€165.1M,€462K,22.3,90.9,32.9,78.0,88,CM,175cm,Right
354455,Gary Jr.,21,Malawi,Cox Group,Bailey Ltd (France),€175.4M,€460K,60.9,83.2,89.1,40.4,88,RM,206cm,Left
109662,A. Winters,55,Poland,"Austin, Marsh and Morgan",Premier League (England),€158.4M,€458K,73.2,82.5,49.5,90.4,88,GK,152cm,Left
819409,Robert Garner,32,Togo,"Roach, Powers and Thompson",Bailey Ltd (France),€151.1M,€479K,85.3,26.7,87.0,60.0,87,CB,156cm,Left
508325,E. Hampton,33,France,"Velasquez, Werner and Thompson",Neal Group (Christmas Island),€149M,€460K,90.8,30.8,22.2,75.2,87,LW,201cm,Left
713244,R. Morris,29,Christmas Island,Jackson Group,Mitchell-Dean (France),€161.2M,€450K,58.9,86.2,86.8,52.2,87,CDM,196cm,Left
631473,R. Turner,25,Poland,Williams Inc,Premier League (England),€145.7M,€453K,37.1,94.1,63.6,64.0,87,CDM,171cm,Left
280739,K. Williams,33,Togo,"Miles, Smith and Frank",Premier League (England),€144.6M,€430K,84.6,88.1,28.0,58.3,87,GK,157cm,Left
805185,D. Conway,51,French Southern Territories,Barry-Garcia,Johnson-Fernandez (United States Virgin Islands),€175.6M,€435K,35.8,82.5,88.9,22.5,87,RM,160cm,Left
354797,B. Mcdonald,26,Christmas Island,Ford-Hartman,"Romero, Young and Garcia (Cocos (Keeling) Islands)",€147.5M,€444K,64.1,72.2,44.4,91.3,87,GK,186cm,Left
478397,R. Singh,30,Togo,Jones-Kramer,Premier League (England),€148.1M,€428K,76.9,56.1,34.2,89.9,87,GK,174cm,Left
797952,M. Kelley,20,Christmas Island,Liverpool,Bailey Ltd (France),€144.6M,€419K,32.2,94.0,57.4,60.2,87,RW,203cm,Left
721009,Danny Woodward,27,Christmas Island,"Myers, Price and Olson",Premier League (England),€140.6M,€419K,86.8,37.3,84.6,28.9,86,LW,208cm,Right
641225,Eric Martinez,32,Christmas Island,"Austin, Marsh and Morgan",Premier League (England),€140.9M,€430K,79.4,42.4,88.3,55.6,86,CB,199cm,Left
895494,Alejandro Jr.,26,Spain,Williams Inc,Premier League (England),€124.2M,€412K,57.8,89.2,63.4,75.3,86,CAM,168cm,Right
527051,Marc Cox,23,French Southern Territories,Hurley-Sutton,Premier League (England),€128.2M,€445K,40.4,79.8,88.4,36.4,86,LWB,181cm,Left
585475,Gibson,25,Spain,Mcdonald-Burke,Premier League (England),€141.4M,€408K,27.1,85.3,11.6,85.8,86,CM,198cm,Right
295989,B. Castro,33,Christmas Island,Young-Bond,Premier League (England),€137.7M,€406K,19.4,82.5,85.3,64.5,85,LWB,152cm,Left
206334,Justin Jr.,24,French Southern Territories,"Torres, Hernandez and Cox",Mitchell-Dean (France),€137M,€404K,86.3,22.1,82.8,67.5,85,CB,176cm,Left
853604,C. Pearson,17,Spain,"Roach, Powers and Thompson",Bailey Ltd (France),€116.8M,€382K,58.3,67.5,91.3,37.4,85,LM,209cm,Right
894854,J. Hess,23,Cocos (Keeling) Islands,"Morris, Short and Tyler","Zhang, Holloway and Adams (Togo)",€117.8M,€401K,14.2,59.0,93.4,54.5,85,LWB,151cm,Left
346163,J. Young,28,France,FC Bayern München,Mitchell-Dean (France),€117.7M,€402K,56.5,77.9,87.3,51.8,85,RM,160cm,Left
650168,P. Kelly,55,Malawi,Yu PLC,Bailey Ltd (France),€109.1M,€388K,72.9,88.4,48.7,54.2,85,GK,178cm,Left
765153,R. Meyer,28,France,Liverpool,Bailey Ltd (France),€111.6M,€375K,86.5,48.7,81.6,29.5,85,LW,192cm,Right
713159,P. Flores,33,French Southern Territories,FC Bayern München,Mitchell-Dean (France),€116.8M,€377K,86.6,24.2,75.4,50.0,84,CB,177cm,Left
16854,M. Johnson,29,Spain,Liverpool,Bailey Ltd (France),€112.8M,€379K,82.8,56.9,41.6,84.3,84,GK,201cm,Left
173053,K. Parks,45,Poland,Jackson Group,Mitchell-Dean (France),€100.9M,€366K,25.1,88.2,72.1,65.2,84,CDM,166cm,Left
566354,J. Watkins,20,United States Virgin Islands,Cohen-Chavez,Webster Ltd (United States Virgin Islands),€99.5M,€378K,35.0,90.9,61.3,48.1,84,CDM,210cm,Left
124005,D. Nguyen,30,Taiwan,Liverpool,Bailey Ltd (France),€108.9M,€370K,50.8,61.7,48.4,90.8,84,CB,200cm,Right
124160,D. Brown,20,Cocos (Keeling) Islands,Liverpool,Bailey Ltd (France),€106.6M,€366K,40.5,46.4,92.5,59.8,84,LWB,169cm,Left
722292,G. Hayes,47,Togo,"Snyder, Smith and Taylor",Premier League (England),€99.3M,€363K,30.2,77.2,86.1,45.7,84,RM,195cm,Left
501431,Jose Jr.,22,Aruba,"Mills, Rose and Perkins",Premier League (England),€97.7M,€365K,59.7,21.4,91.5,54.9,84,LW,190cm,Right
313228,T. Miles,30,United States Virgin Islands,Jones-Kramer,Premier League (England),€98.5M,€363K,33.1,62.5,37.2,91.0,84,CB,169cm,Right
59279,Michael Jr.,24,Aruba,"Snyder, Smith and Taylor",Premier League (England),€99.3M,€352K,51.4,79.7,84.8,56.9,84,CDM,182cm,Left
43029,T. Garcia,25,United States Virgin Islands,"Myers, Price and Olson",Premier League (England),€97.6M,€369K,30.2,89.6,43.1,68.8,84,CM,194cm,Right
559579,Samuel Frazier,20,Taiwan,"Austin, Marsh and Morgan",Premier League (England),€108.7M,€349K,28.3,86.3,25.4,77.4,84,CM,207cm,Right
2534,N. Jackson,37,Christmas Island,Williams Group,Mitchell-Dean (France),€91.8M,€346K,57.4,93.2,53.1,50.1,84,CDM,200cm,Left
338636,W. Phillips,25,French Southern Territories,George and Sons,"Nguyen, Fisher and Hunt (Spain)",€97.1M,€334K,61.7,58.6,32.9,91.3,84,GK,206cm,Left
478261,Booker,35,Spain,Beard LLC,Webster Ltd (United States Virgin Islands),€86.1M,€317K,60.3,84.7,49.1,83.6,84,CAM,173cm,Right
298057,M. Davis,28,United States Virgin Islands,"Johns, Ortiz and Finley",Hill-Nelson (Taiwan),€86.8M,€320K,39.1,41.7,60.8,91.3,84,CB,193cm,Right
183382,R. Bullock,24,French Southern Territories,"Johns, Ortiz and Finley",Hill-Nelson (Taiwan),€84.3M,€326K,46.7,46.8,91.5,61.0,84,LWB,152cm,Left
110018,C. Johnson,30,Taiwan,"Johns, Ortiz and Finley",Hill-Nelson (Taiwan),€88.2M,€319K,20.3,56.8,93.7,49.1,84,LWB,165cm,Left
3863,Hamilton,35,Togo,Young-Bond,Premier League (England),€80.8M,€298K,87.0,29.5,73.3,41.1,84,LW,150cm,Right
413481,Charles Collins,20,French Southern Territories,Mckinney-Mathews,"Zhang, Holloway and Adams (Togo)",€75.8M,€307K,83.0,43.7,84.4,32.2,84,LW,163cm,Right
69460,Bolton,23,Spain,"Miles, Smith and Frank",Premier League (England),€82.7M,€338K,75.8,30.4,86.9,40.7,84,CB,208cm,Left
565391,N. George,26,Spain,Hurley-Sutton,Premier League (England),€76.2M,€305K,85.7,37.5,17.2,75.5,83,LW,179cm,Left
65696,Jeff Barnett,24,Spain,Mcdonald-Burke,Premier League (England),€67.8M,€290K,54.5,81.5,46.2,83.7,83,CAM,195cm,Right
41309,Michael Mills,25,Christmas Island,Knight-Trevino,Premier League (England),€68.2M,€291K,53.1,91.2,27.8,59.0,83,CM,177cm,Right
950649,Luis Jr.,33,French Southern Territories,Kim-Vang,"Nguyen, Fisher and Hunt (Spain)",€72.3M,€295K,54.0,56.7,91.9,52.9,83,CDM,184cm,Left
377455,C. Johnson,34,French Southern Territories,"Johns, Ortiz and Finley",Hill-Nelson (Taiwan),€73.1M,€296K,91.0,33.4,9.2,60.2,83,LW,207cm,Left
648488,D. Edwards,24,United States Virgin Islands,FC Barcelona,Bailey Ltd (France),€66.7M,€288K,19.4,51.7,93.0,32.1,83,LWB,157cm,Left
542532,R. Anderson,25,Taiwan,Gross-Stanley,Premier League (England),€65.5M,€280K,58.1,80.9,29.4,83.7,83,GK,176cm,Left
829909,A. Padilla,24,Spain,Manchester United,Neal Group (Christmas Island),€67.7M,€276K,76.8,84.8,34.0,63.4,83,GK,177cm,Right
216010,C. Moore,21,French Southern Territories,"Luna, Thompson and Guerra",Martinez PLC (United States Virgin Islands),€66M,€314K,66.6,52.7,85.4,74.6,83,CB,154cm,Left
494892,T. Brown,27,France,Nielsen Ltd,Martinez PLC (United States Virgin Islands),€65.1M,€262K,71.3,19.1,86.4,71.7,83,CB,152cm,Left
19799,W. Shepard,25,Cocos (Keeling) Islands,Salazar-Yates,Webster Ltd (United States Virgin Islands),€64.4M,€271K,87.7,33.3,70.0,57.7,83,LW,194cm,Right
511473,A. Vasquez,24,Togo,Hayes Group,"Zhang, Holloway and Adams (Togo)",€52.6M,€274K,50.5,43.2,93.8,43.9,83,LM,155cm,Right
353088,K. Morales,53,United States Virgin Islands,"Larson, Robertson and Williamson",Premier League (England),€52.1M,€273K,49.2,84.8,59.8,71.7,82,GK,161cm,Right
738214,Schultz,19,Taiwan,"Watson, Barnes and Yang",Mitchell-Dean (France),€47.1M,€254K,85.0,23.1,73.0,45.2,82,LW,160cm,Right
205776,S. Campbell,25,Poland,Gardner-Hess,Neal Group (Christmas Island),€49.6M,€234K,85.5,70.6,38.3,72.1,82,GK,179cm,Right
599076,A. Crawford,32,Cocos (Keeling) Islands,Hurley-Sutton,Premier League (England),€43.9M,€260K,42.7,68.2,87.0,44.8,82,RM,168cm,Left
1142,R. Robinson,24,United States Virgin Islands,Young-Bond,Premier League (England),€88.2M,€254K,60.8,14.8,88.7,36.7,82,LW,177cm,Right
