ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
478306,I. Miles,26,Vietnam,FC Bayern München,Porter and Sons (Kazakhstan),€112.1M,€422K,19.8,73.9,92.3,33.5,88,RW,186cm,Right
181929,Justin Webb,25,Vietnam,Liverpool,Porter and Sons (Kazakhstan),€100.5M,€403K,91.4,56.5,69.6,31.5,87,RW,157cm,Right
869900,A. Harvey,20,Kazakhstan,FC Barcelona,Premier League (England),€244.8M,€402K,64.5,92.5,58.0,32.1,86,CDM,156cm,Right
617169,D. Jones,21,Vietnam,Liverpool,Porter and Sons (Kazakhstan),€186.4M,€540K,62.7,93.7,29.2,41.1,86,CB,180cm,Right
320658,Austin Jr.,30,Vietnam,FC Bayern München,Porter and Sons (Kazakhstan),€187.9M,€227K,33.9,89.0,72.1,28.9,85,LM,172cm,Right
650819,C. Reyes,28,Kazakhstan,Paris Saint Germain,Porter and Sons (Kazakhstan),€85.6M,€432K,88.3,50.1,70.0,11.1,84,LWB,196cm,Right
316650,B. Park,31,Kazakhstan,Paris Saint Germain,Porter and Sons (Kazakhstan),€73.9M,€257K,50.1,69.9,88.1,63.4,84,RWB,156cm,Right
736289,J. Roberts,31,Kazakhstan,Liverpool,Porter and Sons (Kazakhstan),€97.1M,€298K,43.9,64.9,89.5,34.7,83,RW,187cm,Right
184993,M. Barton,29,Vietnam,"Reese, Rodriguez and Ford",Porter and Sons (Kazakhstan),€65.9M,€98K,91.9,48.0,55.1,18.5,83,LWB,156cm,Right
529413,D. Cox,31,Kazakhstan,"Reese, Rodriguez and Ford",Porter and Sons (Kazakhstan),€73.2M,€113K,57.1,89.7,17.8,52.1,82,CB,176cm,Right
26219,Kenneth Jr.,27,Vietnam,Paris Saint Germain,Porter and Sons (Kazakhstan),€10M,€186K,30.6,25.9,87.3,67.8,82,RB,154cm,Left
255105,J. Martin,28,Vietnam,"Reese, Rodriguez and Ford",Porter and Sons (Kazakhstan),€9.8M,€150K,42.1,29.4,80.8,81.0,81,CM,159cm,Right
210442,T. Robinson,26,Kazakhstan,"Reese, Rodriguez and Ford",Porter and Sons (Kazakhstan),€9M,€95K,65.7,84.1,30.7,53.1,80,LB,210cm,Left
680544,J. Mann,25,Vietnam,Liverpool,Porter and Sons (Kazakhstan),€8.7M,€97K,74.0,23.3,53.3,81.6,80,RW,153cm,Left
978962,R. Griffin,31,Kazakhstan,FC Bayern München,Porter and Sons (Kazakhstan),€9.3M,€94K,44.5,85.7,57.5,30.3,79,RWB,184cm,Right
410343,Brown,27,Kazakhstan,"Reese, Rodriguez and Ford",Porter and Sons (Kazakhstan),€9.5M,€95K,9.8,83.3,65.9,48.6,79,LM,209cm,Right
405731,Joshua Roberts,32,Kazakhstan,FC Bayern München,Porter and Sons (Kazakhstan),€7.6M,€91K,79.3,73.5,54.8,53.6,78,CDM,208cm,Right
271485,M. Fitzgerald,34,Kazakhstan,FC Bayern München,Porter and Sons (Kazakhstan),€8.4M,€227K,46.2,33.0,83.8,55.7,77,CB,171cm,Left
690859,T. Gibson,29,Vietnam,FC Bayern München,Porter and Sons (Kazakhstan),€8.4M,€85K,67.4,79.6,41.5,57.0,77,LWB,175cm,Left
19150,Steve Jr.,34,Vietnam,FC Barcelona,Premier League (England),€8M,€85K,28.2,81.3,39.4,62.4,77,RM,203cm,Left
782925,T. Parker,29,Kazakhstan,"Reese, Rodriguez and Ford",Porter and Sons (Kazakhstan),€7.6M,€84K,49.2,76.8,41.8,72.3,76,LW,199cm,Left
917650,J. Campbell,15,Vietnam,Paris Saint Germain,Porter and Sons (Kazakhstan),€8.8M,€80K,83.5,46.8,22.5,54.6,76,CAM,189cm,Left
138949,D. Moore,26,Vietnam,Paris Saint Germain,Porter and Sons (Kazakhstan),€7.3M,€85K,82.0,57.6,43.3,28.8,76,CAM,185cm,Left
499260,T. Hopkins,20,Vietnam,Manchester United,Porter and Sons (Kazakhstan),€7.5M,€80K,38.1,71.1,60.8,76.7,76,CDM,175cm,Left
157360,M. Farmer,27,Vietnam,FC Barcelona,Premier League (England),€7.3M,€77K,21.8,54.5,81.4,44.2,75,CB,177cm,Left
658634,Jeffrey Jr.,35,Kazakhstan,Paris Saint Germain,Porter and Sons (Kazakhstan),€3.4M,€84K,24.5,37.0,82.1,53.3,75,CM,194cm,Right
240159,E. Mora,28,Kazakhstan,Paris Saint Germain,Porter and Sons (Kazakhstan),€4M,€74K,44.5,29.8,67.6,76.6,74,CF,169cm,Right
142439,J. Williams,27,Kazakhstan,FC Barcelona,Premier League (England),€7.2M,€74K,67.2,76.0,46.1,37.2,74,LWB,189cm,Left
