ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
692787,Clifford Baldwin,44,Puerto Rico,Norris and Sons,Adkins LLC (Jordan),€199.5M,€496K,85.5,26.7,94.8,45.1,92,RB,155cm,Right
302646,Andrew Jr.,25,Bangladesh,"Phillips, Reynolds and Miranda",Boyd Group (Vanuatu),€199.6M,€549K,89.5,53.0,93.1,48.5,92,RB,180cm,Right
632657,West,27,Pitcairn Islands,Sharp-Gonzalez,Thomas Ltd (Cambodia),€199.8M,€497K,87.1,51.7,94.2,23.1,92,RB,191cm,Right
141505,W. Johnson,24,India,Berry-Graham,Martinez Ltd (Denmark),€249.8M,€497K,87.7,52.1,93.9,29.3,92,RB,165cm,Right
659826,L. Baker,29,Austria,Crosby-Newman,Krause-Rodgers (Guinea),€199M,€496K,86.3,40.2,92.3,23.0,91,RB,178cm,Right
760024,Larry Jordan,31,Estonia,Crosby-Newman,Krause-Rodgers (Guinea),€199.2M,€496K,85.3,47.3,93.3,45.3,91,RB,190cm,Right
629669,H. Shaffer,29,India,Turner Inc,"Schaefer, Klein and Thornton (Estonia)",€198.8M,€493K,68.8,86.6,36.6,92.9,91,RWB,158cm,Left
333405,Z. Thompson,34,United States of America,Palmer-Gillespie,Manning Inc (South Africa),€198.9M,€494K,87.3,58.0,61.8,90.3,90,LB,155cm,Left
238634,L. Taylor,24,Brazil,Mack Inc,"Johnson, Terrell and Graham (Zambia)",€197.3M,€493K,58.2,84.9,12.3,91.3,90,RWB,200cm,Left
428340,Paul Friedman,22,Lesotho,Stewart-Roberson,Premier League (England),€199.5M,€490K,93.5,51.5,61.1,74.9,89,RWB,151cm,Right
693788,R. Hicks,28,Slovakia (Slovak Republic),"Roach, Oliver and Perez",Cox Group (Slovakia (Slovak Republic)),€196.9M,€492K,75.2,30.5,94.1,32.8,89,RB,208cm,Right
563147,Howell,33,Guinea-Bissau,"Allen, Clements and Chase","Chung, Daniel and Williams (Mauritania)",€197.3M,€489K,93.7,74.8,51.9,49.8,89,RWB,208cm,Right
