ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
675625,F. Tran,22,Cameroon,"Bean, Smith and Jones",Premier League (England),€196M,€492K,88.7,92.6,21.8,71.0,92,ST,187cm,Right
475703,C. Christian,26,Guadeloupe,"Bean, Smith and Jones",Premier League (England),€247.3M,€549K,86.1,92.4,40.1,53.3,91,ST,163cm,Right
821607,B. Rivers,24,Mali,"Ramirez, Martinez and Hansen","Buchanan, Davis and Evans (Vietnam)",€196.6M,€498K,70.3,92.7,21.4,85.1,91,ST,198cm,Right
221222,Joe Jr.,29,Uganda,Johnson LLC,Premier League (England),€196.8M,€498K,56.3,91.0,26.8,84.8,89,ST,150cm,Right
50044,C. Welch,21,Saint Pierre and Miquelon,Hatfield LLC,Wilson-Sullivan (Austria),€194.3M,€485K,87.6,89.3,40.1,88.6,89,ST,177cm,Right
263071,Marcus Jr.,16,Turkey,Nicholson Inc,Mueller-Fields (Equatorial Guinea),€190.2M,€493K,50.9,59.7,91.1,81.5,89,RB,158cm,Right
894329,W. Everett,29,North Macedonia,"Jackson, Hall and Horn",Brown-Campbell (Cameroon),€190.9M,€489K,91.6,62.7,82.0,46.3,89,RM,208cm,Left
984529,D. Lewis,30,Mali,FC Bayern München,"Terry, Elliott and West (Cyprus)",€187.4M,€484K,85.0,90.7,31.5,71.8,89,ST,153cm,Right
593590,J. Dyer,29,Yemen,Manchester United,Ferguson Inc (Germany),€187.4M,€476K,90.6,60.4,67.9,78.6,89,CDM,155cm,Left
246421,Cooper,21,Mauritania,"Smith, Gallagher and Baker",Wilson-Sullivan (Austria),€185.5M,€481K,70.2,93.9,38.5,22.0,88,GK,210cm,Left
181950,T. Dillon,30,Mauritania,Klein and Sons,Ferguson Inc (Germany),€185.1M,€480K,53.6,38.3,93.0,69.8,87,RB,167cm,Right
280361,M. Haynes,31,Lebanon,"Anderson, Trevino and Wood",Mata Group (Mauritania),€186.1M,€472K,51.9,86.4,48.7,87.8,87,ST,160cm,Right
698223,D. Warner,30,Mauritania,"Humphrey, Hernandez and Ramirez",Fields Group (Uganda),€182M,€468K,63.0,65.5,89.1,80.5,87,CM,179cm,Right
681847,S. Nguyen,27,Thailand,Austin-Anderson,"Lee, Bailey and Patterson (North Macedonia)",€182.2M,€470K,89.2,59.8,54.5,79.3,87,RM,204cm,Left
764255,E. King,20,Turkey,Hart-Cantrell,Premier League (England),€182.4M,€488K,68.9,93.0,8.5,39.6,87,GK,163cm,Left
412445,S. Dunn,17,Yemen,"Weber, Lutz and Barton",Premier League (England),€193.3M,€470K,72.0,92.4,29.5,18.2,87,GK,162cm,Left
109624,Ronald Jr.,31,Malta,Lester Inc,Bryant Inc (Turkey),€179M,€461K,62.0,88.9,79.5,57.3,87,LM,206cm,Left
36039,B. West,32,Lebanon,Davis Inc,Bryant Inc (Turkey),€181.3M,€461K,87.3,67.4,59.6,85.6,87,RWB,179cm,Left
528118,J. Ford,26,Mauritania,"Moore, Walker and Reynolds",Wilson PLC (Germany),€184.7M,€465K,61.9,45.7,89.8,79.0,87,CM,183cm,Right
716743,Cruz,22,Mali,Glenn-Miller,Fields Group (Uganda),€179M,€468K,70.4,92.2,31.3,57.0,87,ST,195cm,Right
598049,J. Rivera,35,Turkey,Rogers-Ramos,"Acosta, Jacobs and Carroll (Bouvet Island (Bouvetoya))",€175.6M,€458K,89.7,53.8,76.8,68.3,86,RM,157cm,Left
368929,D. Wood,24,Malta,Hernandez LLC,Wilson PLC (Germany),€178.7M,€460K,86.4,85.3,38.7,56.8,86,ST,175cm,Right
