ID,Name,Age,Nationality,Team,League,Value,Wage,Attacking,Movement,Defending,Goalkeeping,Overall rating,Position,Height,Preferred foot
304152,Carlson,26,Ethiopia,Johnson PLC,Premier League (England),€196.8M,€485K,52.3,93.5,39.3,89.6,93,LB,167cm,Right
49934,Dominic Jr.,25,Holy See (Vatican City State),Hernandez Inc,Premier League (England),€198.2M,€545K,57.1,86.5,41.6,91.7,90,LB,153cm,Right
66499,R. Taylor,38,Algeria,"Thomas, Martin and Elliott",Premier League (England),€193.5M,€476K,53.4,91.6,45.0,87.1,90,LB,198cm,Right
420701,C. Caldwell,28,Holy See (Vatican City State),"Mack, English and Woodward",Premier League (England),€195.3M,€490K,42.4,89.3,62.8,86.4,89,LB,187cm,Right
484273,M. Foster,26,Botswana,"Martinez, Quinn and Neal",Premier League (England),€184.7M,€483K,70.0,94.3,51.1,67.0,88,LB,170cm,Right
558802,Harris,29,Liechtenstein,"Jenkins, Porter and Campbell",Premier League (England),€189.2M,€471K,86.2,34.4,87.0,50.3,87,CF,165cm,Left
363568,R. Greer,25,Botswana,FC Bayern München,Premier League (England),€249.9M,€472K,87.8,38.0,83.3,42.2,87,CF,168cm,Left
986256,R. Rodriguez,47,Botswana,Bruce-Ford,Premier League (England),€176M,€460K,41.0,71.0,66.5,92.3,87,LB,208cm,Right
118354,Ryan Watson,35,Iran,Johnson PLC,Premier League (England),€171M,€444K,54.9,73.9,52.6,91.4,87,LB,207cm,Right
216813,J. Bowen,27,Algeria,Morgan-Meyer,Premier League (England),€172.4M,€441K,46.5,60.4,70.9,92.9,87,LW,188cm,Left
442647,A. Burgess,21,Liechtenstein,Yang Ltd,Premier League (England),€168.7M,€458K,75.6,89.7,43.7,13.1,86,ST,156cm,Left
958946,Joshua Choi,49,Holy See (Vatican City State),Hayden-Harris,Premier League (England),€172.5M,€446K,36.7,75.2,68.4,89.2,86,LW,210cm,Left
443013,D. Lee,29,Mali,Mclaughlin Ltd,Premier League (England),€172.4M,€464K,43.4,92.6,41.9,66.4,86,LB,184cm,Right
912032,Walker,35,Botswana,Johnson PLC,Premier League (England),€165.1M,€422K,65.3,93.1,43.9,64.7,86,LB,172cm,Right
224450,K. Humphrey,26,Liechtenstein,Smith-Wilson,Premier League (England),€167.6M,€435K,58.2,33.0,74.0,89.7,86,ST,167cm,Right
28140,Eddie Nielsen,30,Ethiopia,"Jenkins, Porter and Campbell",Premier League (England),€167.7M,€430K,81.9,49.5,86.9,54.7,86,CF,206cm,Left
365,R. Garcia,28,Botswana,"Martinez, Quinn and Neal",Premier League (England),€160.5M,€412K,11.4,92.7,60.6,44.9,85,RB,153cm,Left
590497,J. Oneal,29,Montenegro,Yang Ltd,Premier League (England),€164.3M,€426K,52.1,65.2,53.3,91.1,85,LB,166cm,Right
17523,James Little,29,Iran,Simmons-Marsh,Premier League (England),€163.7M,€401K,60.6,80.0,31.4,87.3,85,LB,161cm,Right
779533,D. Gonzales,33,Ethiopia,"Jenkins, Porter and Campbell",Premier League (England),€167.6M,€415K,34.6,50.2,91.9,63.1,85,CF,168cm,Right
828782,Duran,27,Liechtenstein,Dixon Ltd,Premier League (England),€154.8M,€392K,42.5,86.4,60.4,79.2,85,GK,172cm,Left
509307,A. Villa,31,Algeria,Fuller Ltd,Premier League (England),€153.5M,€382K,43.9,54.5,88.8,74.9,85,LW,206cm,Left
657872,P. Hamilton,21,Holy See (Vatican City State),Hayden-Harris,Premier League (England),€158.5M,€399K,18.4,49.3,85.3,83.7,85,LW,166cm,Left
641773,Michael Bell,18,Botswana,Edwards-Stanton,Premier League (England),€151.9M,€415K,74.6,88.9,33.5,10.2,85,ST,202cm,Left
503518,Randall Jr.,43,Algeria,Anderson-Elliott,Premier League (England),€148.2M,€381K,68.8,70.6,50.9,90.4,85,LB,165cm,Right
721039,M. Brown,18,Mali,"Jenkins, Porter and Campbell",Premier League (England),€142.8M,€375K,85.1,81.4,52.8,13.2,84,ST,150cm,Left
450782,J. Campbell,25,Rwanda,"Jenkins, Porter and Campbell",Premier League (England),€159.4M,€374K,56.0,85.6,75.7,79.7,84,CDM,181cm,Right
33741,M. Kent,27,Ethiopia,Anderson-Elliott,Premier League (England),€140.7M,€397K,34.8,80.3,85.7,50.7,84,RM,155cm,Left
697599,Ashley,25,Iran,"Martinez, Quinn and Neal",Premier League (England),€138M,€381K,78.0,59.0,86.1,55.8,84,CF,188cm,Left
173323,D. Peterson,35,Vanuatu,Valdez Ltd,Premier League (England),€132.8M,€354K,67.3,28.6,90.1,59.9,84,CF,189cm,Right
125121,Jeffrey Matthews,25,Mali,FC Barcelona,Premier League (England),€133.3M,€354K,74.5,71.7,87.3,65.2,84,CF,170cm,Left
494461,J. Williams,21,Mali,Bruce-Ford,Premier League (England),€133.9M,€355K,61.9,91.4,51.0,45.7,84,ST,204cm,Left
560391,K. Kim,35,Algeria,"Hall, Kim and Williams",Premier League (England),€123.6M,€348K,87.4,45.4,75.4,53.5,84,CF,205cm,Left
601631,C. Porter,35,Holy See (Vatican City State),Edwards-Stanton,Premier League (England),€131.4M,€344K,53.8,89.4,64.9,66.7,84,LB,167cm,Right
928105,P. Mathis,24,Rwanda,Manchester United,Premier League (England),€130.9M,€344K,44.4,91.3,57.3,23.5,84,CDM,190cm,Left
